2026-04-08 18:12:27 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:28 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:28 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:28 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:29 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:29 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:29 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:30 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:30 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:31 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:31 - quant - INFO - 回测区间：20250101 - 20250408, 共 54 个交易日
2026-04-08 18:12:31 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:34 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:34 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:37 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:37 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:38 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:38 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:38 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:39 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:39 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:39 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:40 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:40 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:41 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:41 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:41 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:42 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:42 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:42 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:43 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:43 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:43 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:44 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:44 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:45 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:45 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:45 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:46 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:46 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:46 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:47 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:47 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:48 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:48 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:48 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:49 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:49 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:49 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:50 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:50 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:51 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:51 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:51 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:52 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:52 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:52 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:53 - quant - INFO - 回测区间：20250101 - 20250408, 共 57 个交易日
2026-04-08 18:12:53 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:53 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:54 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:54 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:55 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:55 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:55 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:56 - quant - INFO - 回测区间：20250101 - 20250408, 共 55 个交易日
2026-04-08 18:12:56 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:56 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:57 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:57 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:58 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:58 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:58 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:59 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:59 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:12:59 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:00 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:00 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:01 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:01 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:01 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:02 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:02 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:02 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:03 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:03 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:03 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:04 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:04 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:05 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:05 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:05 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:06 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:06 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:06 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:07 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:07 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:08 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:08 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:08 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:09 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:09 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:09 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:10 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:10 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:11 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:11 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
